gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2885135301,90d8babc-685f-449e-a4ec-7275ca7655c7,871d7336-1a5b-4926-8d12-c2102f55975b,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus johanseni,,SPECIES,"Bombus johanseni (Sladen, 1919) Sladen, 1919",Bombus johanseni  Sladen,Sladen,CA,"Kitikmeot, Cambridge Bay",Nunavut,PRESENT,1.0,39fd7088-af63-4ad5-8d30-479a720a368b,69.1323,-105.062,,,,,,,2018-08-09T00:00:00,9.0,8.0,2018,10827632,10827632.0,PRESERVED_SPECIMEN,CBG,,DCHAR2640-19,,Cory S. Sheffield,2020-01-01T00:00:00,CC0_1_0,,Collector(s): CBG Team 3,,,2022-11-25T07:54:38.249Z,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
2885135303,90d8babc-685f-449e-a4ec-7275ca7655c7,60874093-5130-4d84-baa4-eafd4de80718,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus johanseni,,SPECIES,"Bombus johanseni (Sladen, 1919) Sladen, 1919",Bombus johanseni  Sladen,Sladen,CA,"Sach's Harbour, Banks Island",Northwest Territories,PRESENT,1.0,39fd7088-af63-4ad5-8d30-479a720a368b,71.9886,-125.2526,,,,,,,2018-07-09T00:00:00,9.0,7.0,2018,10827632,10827632.0,PRESERVED_SPECIMEN,RSKM,ENT,RSKM_ENT_E-199719,,Cory S. Sheffield,2020-01-01T00:00:00,CC_BY_4_0,,Collector(s): J.M. Heron,,,2022-11-25T07:54:38.509Z,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COLLECTION_MATCH_FUZZY
2885135305,90d8babc-685f-449e-a4ec-7275ca7655c7,6b69e42c-2710-46bb-8581-8a6c6f5701dc,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus johanseni,,SPECIES,"Bombus johanseni (Sladen, 1919) Sladen, 1919",Bombus johanseni  Sladen,Sladen,CA,"Sach's Harbour, Banks Island",Northwest Territories,PRESENT,1.0,39fd7088-af63-4ad5-8d30-479a720a368b,71.9923,-125.2889,,,,,,,2018-07-07T00:00:00,7.0,7.0,2018,10827632,10827632.0,PRESERVED_SPECIMEN,RSKM,ENT,RSKM_ENT_E-199704,,Cory S. Sheffield,2020-01-01T00:00:00,CC_BY_4_0,,Collector(s): J.M. Heron,,,2022-11-25T07:54:38.551Z,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COLLECTION_MATCH_FUZZY
2885135306,90d8babc-685f-449e-a4ec-7275ca7655c7,426e6fd4-8074-41a4-82ef-8c796837d99e,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus johanseni,,SPECIES,"Bombus johanseni (Sladen, 1919) Sladen, 1919",Bombus johanseni  Sladen,Sladen,CA,"Sach's Harbour, Banks Island",Northwest Territories,PRESENT,1.0,39fd7088-af63-4ad5-8d30-479a720a368b,71.9871,-125.2409,,,,,,,2018-07-04T00:00:00,4.0,7.0,2018,10827632,10827632.0,PRESERVED_SPECIMEN,RSKM,ENT,RSKM_ENT_E-199663,,Cory S. Sheffield,2020-01-01T00:00:00,CC_BY_4_0,,Collector(s): J.M. Heron,,,2022-11-25T07:54:38.562Z,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COLLECTION_MATCH_FUZZY
2885135307,90d8babc-685f-449e-a4ec-7275ca7655c7,0c105d9b-1325-4f81-9b29-158ac8eeb6f9,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus johanseni,,SPECIES,"Bombus johanseni (Sladen, 1919) Sladen, 1919",Bombus johanseni  Sladen,Sladen,CA,"Sach's Harbour, Banks Island",Northwest Territories,PRESENT,1.0,39fd7088-af63-4ad5-8d30-479a720a368b,71.9871,-125.2409,,,,,,,2018-07-04T00:00:00,4.0,7.0,2018,10827632,10827632.0,PRESERVED_SPECIMEN,RSKM,ENT,RSKM_ENT_E-199662,,Cory S. Sheffield,2020-01-01T00:00:00,CC_BY_4_0,,Collector(s): J.M. Heron,,,2022-11-25T07:54:38.582Z,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COLLECTION_MATCH_FUZZY
